Draw Date,Regular Numbers,,,,,,,Bonus
21st December 2012,7,8,17,18,20,40,41,33
14th December 2012,3,6,10,33,39,48,49,18
7th December 2012,5,11,22,29,38,42,49,33
30th November 2012,3,10,13,23,31,41,45,33
23rd November 2012,6,8,10,17,28,29,38,34
16th November 2012,1,5,9,19,27,35,48,30
9th November 2012,8,9,11,22,24,42,46,13
2nd November 2012,1,2,5,26,29,36,47,13
26th October 2012,3,4,20,25,30,35,48,23
19th October 2012,1,2,3,15,22,37,41,6
12th October 2012,5,7,12,15,35,45,47,40
5th October 2012,1,12,23,27,30,31,37,33
28th September 2012,5,6,32,33,39,42,47,9
21st September 2012,7,8,10,11,19,34,45,44
14th September 2012,2,27,30,31,37,46,47,21
7th September 2012,11,14,18,20,37,41,46,8
31st August 2012,5,12,13,28,33,37,43,44
24th August 2012,2,3,5,22,23,32,33,8
17th August 2012,18,19,22,27,29,36,47,25
10th August 2012,2,15,18,19,22,27,49,40
3rd August 2012,1,2,18,26,27,39,42,33
27th July 2012,2,20,25,26,46,47,48,44
20th July 2012,4,7,29,35,39,43,44,46
13th July 2012,3,13,14,23,33,36,45,7
6th July 2012,14,26,31,34,37,45,48,38
29th June 2012,10,14,20,28,35,40,42,44
22nd June 2012,1,12,20,22,30,34,38,33
15th June 2012,8,11,20,28,36,43,47,18
8th June 2012,9,10,16,24,26,44,48,27
1st June 2012,4,7,13,24,26,27,43,41
25th May 2012,1,2,3,6,12,20,41,10
18th May 2012,3,4,13,15,21,29,48,26
11th May 2012,1,6,7,24,31,36,39,26
4th May 2012,3,5,6,25,37,43,45,21
27th April 2012,3,23,28,40,42,43,45,17
20th April 2012,14,15,16,19,30,36,46,42
13th April 2012,2,6,11,12,16,39,45,3
6th April 2012,15,18,19,25,32,42,49,43
30th March 2012,3,11,12,19,35,45,47,13
23rd March 2012,6,18,21,23,24,32,48,47
16th March 2012,5,7,18,24,28,41,49,26
9th March 2012,7,18,19,29,39,47,48,32
2nd March 2012,4,13,14,15,34,46,47,49
24th February 2012,6,17,23,24,25,31,38,7
17th February 2012,1,15,26,28,31,39,49,18
10th February 2012,1,5,25,35,38,44,47,39
3rd February 2012,2,8,12,14,33,37,47,46
27th January 2012,8,24,28,34,37,43,45,21
20th January 2012,9,15,21,23,41,43,44,46
13th January 2012,6,15,18,26,41,46,48,27
6th January 2012,1,2,8,13,22,45,46,48
30th December 2011,2,13,22,28,35,41,42,4
23rd December 2011,3,4,9,25,26,37,39,45
16th December 2011,11,24,26,31,42,44,46,22
9th December 2011,3,11,18,19,23,27,44,46
2nd December 2011,23,29,33,34,39,44,48,32
25th November 2011,8,10,15,24,30,35,49,23
18th November 2011,8,17,27,28,39,44,49,24
11th November 2011,5,7,9,25,31,37,39,22
4th November 2011,5,8,13,15,27,28,37,39
28th October 2011,2,4,18,20,29,38,41,9
21st October 2011,6,23,27,30,34,38,45,21
14th October 2011,1,3,7,19,31,39,49,17
7th October 2011,12,13,24,25,26,41,43,7
30th September 2011,5,6,7,12,14,18,25,38
23rd September 2011,8,16,24,27,30,38,40,18
16th September 2011,12,18,22,24,28,43,49,21
9th September 2011,6,8,15,20,30,32,42,17
2nd September 2011,2,3,8,13,18,20,23,10
26th August 2011,6,11,12,14,35,43,44,42
19th August 2011,4,14,24,41,43,46,49,1
12th August 2011,4,15,21,30,33,35,47,28
5th August 2011,11,17,18,20,22,29,45,27
29th July 2011,1,2,3,17,24,35,36,30
22nd July 2011,4,13,23,28,32,40,42,12
15th July 2011,3,7,8,12,18,24,41,1
8th July 2011,17,22,28,38,41,43,45,5
1st July 2011,15,18,20,28,29,40,47,38
24th June 2011,2,9,10,15,29,44,48,22
17th June 2011,2,7,14,16,22,27,47,25
10th June 2011,8,11,12,25,28,30,33,16
3rd June 2011,8,21,28,32,33,34,48,38
27th May 2011,5,9,19,20,21,28,30,36
20th May 2011,7,12,14,18,30,45,47,20
13th May 2011,7,8,14,32,38,42,44,30
6th May 2011,6,19,24,25,26,35,36,23
29th April 2011,1,13,20,24,39,45,47,25
22nd April 2011,7,19,34,35,38,42,46,11
15th April 2011,3,12,14,15,25,32,49,37
8th April 2011,13,18,25,41,44,48,49,1
1st April 2011,5,6,11,12,24,26,34,49
25th March 2011,1,4,22,25,26,36,46,5
18th March 2011,2,5,10,21,25,35,49,40
11th March 2011,2,3,4,20,22,40,43,9
4th March 2011,3,18,27,29,32,33,35,47
25th February 2011,3,14,19,30,32,39,46,8
18th February 2011,3,7,12,16,20,42,48,31
11th February 2011,4,6,13,19,26,29,47,43
4th February 2011,1,3,13,18,19,39,48,40
28th January 2011,7,10,14,20,21,23,31,41
21st January 2011,2,18,19,29,42,47,49,17
14th January 2011,2,6,10,12,24,30,37,3
7th January 2011,2,10,13,15,23,28,49,40
31st December 2010,2,7,10,22,32,34,38,1
24th December 2010,8,23,25,26,33,41,43,21
17th December 2010,1,16,28,29,33,37,47,24
10th December 2010,7,9,12,20,28,38,44,10
3rd December 2010,1,10,13,26,43,46,49,31
26th November 2010,12,21,23,27,28,29,37,9
19th November 2010,4,13,25,29,36,40,48,24
12th November 2010,13,15,17,18,19,47,49,38
5th November 2010,7,10,24,30,35,36,39,3
29th October 2010,2,6,21,26,28,33,47,11
22nd October 2010,12,15,19,20,28,29,39,14
15th October 2010,3,14,17,25,30,33,39,7
8th October 2010,3,4,5,8,13,22,33,32
1st October 2010,10,12,13,25,28,29,41,39
24th September 2010,9,22,25,30,31,39,42,19
17th September 2010,2,5,6,43,46,47,48,39
10th September 2010,4,17,27,32,34,39,47,13
3rd September 2010,12,17,27,28,31,36,48,37
27th August 2010,3,14,26,27,29,32,34,1
20th August 2010,4,5,7,8,18,30,35,39
13th August 2010,19,25,27,29,30,36,46,15
6th August 2010,1,5,6,32,36,38,44,29
30th July 2010,5,7,11,40,41,47,48,6
23rd July 2010,17,19,26,29,34,35,38,47
16th July 2010,10,14,26,34,43,47,48,28
9th July 2010,9,10,19,24,28,30,31,46
2nd July 2010,9,19,25,26,29,30,44,33
25th June 2010,5,22,28,31,39,46,48,4
18th June 2010,5,6,26,29,34,36,43,49
11th June 2010,2,7,12,25,29,32,35,26
4th June 2010,3,18,27,30,33,40,45,31
28th May 2010,11,18,23,24,27,28,39,1
21st May 2010,14,16,30,35,36,45,49,10
14th May 2010,7,17,19,23,31,36,41,1
7th May 2010,3,6,10,14,19,25,33,1
30th April 2010,1,3,4,5,16,32,33,41
23rd April 2010,8,11,16,21,24,28,41,37
16th April 2010,6,7,17,20,32,44,49,46
9th April 2010,11,16,29,30,31,33,42,24
2nd April 2010,4,9,12,15,28,29,43,17
26th March 2010,3,11,12,16,34,36,37,18
19th March 2010,1,3,6,34,37,42,45,27
12th March 2010,17,18,19,21,32,40,49,6
5th March 2010,5,8,18,22,32,39,45,19
26th February 2010,2,27,30,32,35,36,38,39
19th February 2010,4,23,27,32,35,43,47,24
12th February 2010,9,12,17,23,34,42,47,37
5th February 2010,10,19,25,29,39,41,42,21
29th January 2010,16,17,22,24,40,41,47,45
22nd January 2010,17,26,30,32,34,39,41,49
15th January 2010,12,17,22,30,34,43,49,48
8th January 2010,8,17,21,23,24,28,39,31
1st January 2010,7,9,13,18,27,33,44,15
25th December 2009,8,9,12,13,29,30,31,47
18th December 2009,8,10,15,17,33,34,35,13
11th December 2009,1,4,5,7,22,29,48,13
4th December 2009,1,6,13,19,32,35,40,7
27th November 2009,11,15,24,26,37,38,43,17
20th November 2009,2,8,28,30,36,39,42,24
13th November 2009,8,18,27,28,38,41,48,36
6th November 2009,2,7,8,11,16,17,18,12
30th October 2009,6,9,10,14,17,18,19,46
23rd October 2009,4,7,10,12,23,25,36,18
16th October 2009,4,10,18,20,31,35,44,29
9th October 2009,5,15,25,38,42,46,47,26
2nd October 2009,8,27,28,29,31,32,35,11
25th September 2009,5,15,19,25,31,38,46,4
